name,track_num,popularity,duration_ms
Enter Sandman - Remastered 2021,1,Very High,331560
Sad But True - Remastered 2021,2,High,324600
Holier Than Thou - Remastered 2021,3,High,227573
The Unforgiven - Remastered 2021,4,High,387160
Wherever I May Roam - Remastered 2021,5,High,404333
Don't Tread on Me - Remastered 2021,6,High,240160
Through the Never - Remastered 2021,7,High,244533
Nothing Else Matters - Remastered 2021,8,High,388733
Of Wolf and Man - Remastered 2021,9,High,256573
The God That Failed - Remastered 2021,10,High,308506
My Friend of Misery - Remastered 2021,11,High,409666
The Struggle Within - Remastered 2021,12,Average,232648
"Enter Sandman - Live at Wembley Stadium, London, England / April 20th, 1992",1,Average,418677
"Sad But True - Live at Wembley Stadium, London, England / April 20th, 1992",2,Average,334362
"Nothing Else Matters - Live at Wembley Stadium, London, England / April 20th, 1992",3,Average,383747
"The Ecstasy of Gold - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",1,Average,113509
"Enter Sandman - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",2,Average,321413
"Creeping Death - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",3,Average,477249
"Harvester of Sorrow - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",4,Average,423636
"Fade to Black - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",5,Average,464580
"Sad But True - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",6,Average,360794
"Master of Puppets - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",7,Average,254412
"Seek & Destroy - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",8,Average,477574
"For Whom the Bell Tolls - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",9,Average,348370
"One - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",10,Average,494559
"Whiplash - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",11,Average,341937
"Encore Jam - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",12,Average,89581
"Last Caress - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",13,Average,87620
"Am I Evil? - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",14,Average,284356
"Battery - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",15,Average,433528
The Unforgiven - From James' Riff Tapes,1,Average,68145
Nothing Else Matters - From James' Riff Tapes,2,Average,294996
Sad But True - From James' Riff Tapes,3,Average,55716
Holier Than Thou - From James' Riff Tapes,4,Average,107709
Don't Tread on Me - From James' Riff Tapes,5,Average,72986
The Unforgiven - From James' Riff Tapes II,6,Very Low,21927
The Struggle Within - From James' Riff Tapes,7,Average,92320
The Unforgiven - From James' Riff Tapes III,8,Average,130248
The God That Failed - From James' Riff Tapes,9,Average,43017
Wherever I May Roam - From James' Riff Tapes,10,Very Low,25082
Enter Sandman - From Kirk's Riff Tapes,11,Average,71684
Through the Never - From Kirk's Riff Tapes,12,Average,87025
Of Wolf and Man - From Kirk's Riff Tapes,13,Average,30072
Enter Sandman - From Kirk's Riff Tapes II,14,Average,40121
My Friend of Misery - From Jason's Riff Tapes,15,Average,277892
"Enter Sandman - July 6th, 1990, Writing in Progress",16,Average,94015
"Sad But True - July 6th, 1990, Writing in Progress",17,Average,120008
"The God That Failed - July 6th, 1990, Writing in Progress",18,Average,76160
"Don't Tread on Me - July 6th, 1990, Writing in Progress",19,Average,64805
"The Struggle Within - July 6th, 1990, Writing in Progress",20,Low,42083
Enter Sandman - Remastered 2021,1,High,331560
Sad But True - Remastered 2021,2,Very High,324600
Holier Than Thou - Remastered 2021,3,High,227573
The Unforgiven - Remastered 2021,4,High,387160
Wherever I May Roam - Remastered 2021,5,High,404333
Don't Tread on Me - Remastered 2021,6,High,240160
Through the Never - Remastered 2021,7,High,244533
Nothing Else Matters - Remastered 2021,8,High,388733
Of Wolf and Man - Remastered 2021,9,High,256573
The God That Failed - Remastered 2021,10,High,308506
My Friend of Misery - Remastered 2021,11,High,409666
The Struggle Within - Remastered 2021,12,High,232648
Enter Sandman,1,High,262693
Enter Sandman,2,Average,346053
Enter Sandman,3,High,231106
Enter Sandman,4,Average,293040
Enter Sandman,5,Average,333880
Enter Sandman,6,Average,334186
Sad But True - Live,7,Average,230493
Sad But True,8,Average,270280
Sad But True,9,Average,271240
Sad But True,10,Average,328813
Sad But True,11,Average,252453
Sad But True,12,Low,322706
Sad But True,13,Low,243386
Holier Than Thou,1,Average,309786
Holier Than Thou,2,Average,145680
Holier Than Thou,3,Low,183973
Holier Than Thou,4,Low,235933
Holier Than Thou,5,High,250600
The Unforgiven,6,Average,353560
The Unforgiven,7,Average,260773
The Unforgiven,8,Low,287320
The Unforgiven,9,Average,276733
The Unforgiven,10,Average,245866
The Unforgiven,11,Average,240906
The Unforgiven,12,Low,333493
Wherever I May Roam,1,High,158573
Wherever I May Roam,2,Average,186560
Wherever I May Roam,3,Average,236800
Wherever I May Roam,4,Low,404880
Donâ€™t Tread On Else Matters,5,Average,354440
Donâ€™t Tread On Me,6,Low,254453
Donâ€™t Tread On Me,7,Average,218640
Through The Never,8,Average,246773
Through The Never,9,Low,186080
Nothing Else Matters,10,Average,274506
Nothing Else Matters,11,Average,395785
Nothing Else Matters,12,Average,309373
Nothing Else Matters,13,Average,270560
